name,url_slug,url,pdf_url,website,tags,meal_type,address,latitude,longitude
Estiatorio Milos Hudson Yards,estiatorio-milos-hudson-yards,https://www.nyctourism.com/restaurant-week/estiatorio-milos-hudson-yards,https://assets.ctfassets.net/1aemqu6a6t65/5IpU1uQHHBIAG2sTsd6CzH/5d99b0baac21b89184c6e6c4821d297e/HY_SUMMER_RESTAURANT_WEEK_2023.pdf,https://www.estiatoriomilos.com/restaurant/new-york-hudson-yards,Restaurants; Hudson Yards; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Seafood; Mediterranean; Vegetarian Options; $$$$; Member Organization; Private Function Room(s); Outdoor Dining,Lunch_Price_45; Sunday_LunchBrunch_Price_45,"20 Hudson Yards, 5th fl.,Manhattan,10001,NY",40.7165282,-74.0090444
City Cruises by Hornblower,hornblower-cruises-events,https://www.nyctourism.com/restaurant-week/hornblower-cruises-events,https://assets.ctfassets.net/1aemqu6a6t65/2XE2x8cGn91cCPgOS4xrm/aef526b6554dce5fd16d8f913299f7f6/PDFsam_merge.pdf,https://www.cityexperiences.com/new-york/city-cruises/nyc-restaurant-week,Attractions & Tours; West Village; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; American (Traditional); Vegetarian Options; Free WiFi; Internet; $$$$$; Has Restaurant Amenity; Maritime/Waterfront; Dancing/Nightclub; Live Music; DJs; Member Organization; Tour Company,Dinner_Price_60; Sunday_LunchBrunch_Price_45,"61 Chelsea Piers, W. 23rd St. and Twelfth Ave.,Manhattan,10011,NY",40.747581792,-74.009790309
Cathédrale,cathedrale-restaurant,https://www.nyctourism.com/restaurant-week/cathedrale-restaurant,,http://cathedraleny.com,Restaurants; East Village; Manhattan; New York City; Mastercard Offer; Organic; Wheelchair Accessible; French; Mediterranean; Vegetarian Options; Vegan Options; Gluten-Free; $$$$; Member Organization; Outdoor Dining,Dinner_Price_60; Sunday_Dinner_Price_60,"Moxy NYC East Village, 112 E. 11th St.,Manhattan,10003,NY",40.7316,-73.98951
Socarrat Paella Bar - Midtown East,socarrat-paella-bar-midtown-east,https://www.nyctourism.com/restaurant-week/socarrat-paella-bar-midtown-east,https://assets.ctfassets.net/1aemqu6a6t65/6S4lmphSC3guqSlwhAI6N7/0389098a0ded06866b7cb8d38feb8f92/PDFsam_merge.pdf,https://socarratnyc.com/midtown-east,Restaurants; Midtown East; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Spanish; Vegetarian Options; Gluten-Free; Free WiFi; Internet; $$$; Member Organization; Private Function Room(s); Outdoor Dining,Lunch_Price_30; Dinner_Price_45; Sunday_Dinner_45,"953 Second Ave.,Manhattan,10022,NY",40.7553091,-73.9685283
Tasca NYC,tasca-nyc,https://www.nyctourism.com/restaurant-week/tasca-nyc,https://assets.ctfassets.net/1aemqu6a6t65/7ecpMTlxYRvXZHLQahKYPj/93c95fc3d86be93014ee77e63ee6e5ed/Tasca.pdf,https://www.tasca-nyc.com,Restaurants; Upper West Side; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Woman Owned; Latino Owned; Spanish; Cuban; Caribbean; Puerto Rican; Latin American; Vegetarian Options; Vegan Options; Gluten-Free; $$$$; Member Organization,Dinner_Price_60; Sunday_Dinner_Price_60,"505 Columbus Ave.,Manhattan,10024,NY",40.785293,-73.972622
Queens Bully,queens-bully,https://www.nyctourism.com/restaurant-week/queens-bully,https://assets.ctfassets.net/1aemqu6a6t65/1DuVi1KiO9uOSyVAAvdBx0/fcd052153138b6a6ff09b7854b8d6406/NYC_Restaurant_Week_2023-100.pdf,https://queensbully.com,Restaurants; Forest Hills; Queens; New York City; Mastercard Offer; Large Print; Wheelchair Accessible; Asian American Owned; Barbecue; Vegetarian Options; Vegan Options; Gluten-Free; $$$; Member Organization; Gastropub; Outdoor Dining,Lunch_Price_30; Dinner_Price_45; Sunday_Dinner_45,"113-30 Queens Blvd.,Queens,11375,NY",40.7170196,-73.8354587
Quality Eats—Upper East Side,quality-eats-upper-east-side,https://www.nyctourism.com/restaurant-week/quality-eats-upper-east-side,https://assets.ctfassets.net/1aemqu6a6t65/6wWOFsF9vQbAtiO4fmtUjB/a4718a3a3c05f46d9b973ee60d8c540f/QE_WV_UES_RW_summer23_DINNER.pdf,https://www.qualityeats.com/locations/upper-east-side,Restaurants; Upper East Side; Manhattan; New York City; Wheelchair Accessible; Steakhouse; American (New); $$$$; Member Organization; Outdoor Dining; Mastercard Offer,Dinner_Price_45; Sunday_Dinner_45,"1496 Second Ave.,Manhattan,10075,NY",40.7724573,-73.9553866
Quality Eats - West Village,quality-eats-west-village,https://www.nyctourism.com/restaurant-week/quality-eats-west-village,https://assets.ctfassets.net/1aemqu6a6t65/nD3JIRDQtPCqLxoivtmmT/cd9ec18ede00a98d549bd99c8f9f4a6d/QE_WV_UES_RW_summer23_DINNER.pdf,https://www.qualityeats.com/locations/west-village,Restaurants; West Village; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Steakhouse; $$$$; Member Organization; Outdoor Dining,Dinner_Price_45; Sunday_Dinner_45,"19 Greenwich Ave.,Manhattan,10014,NY",40.7344916,-74.0000589
Wau,wau-restaurant,https://www.nyctourism.com/restaurant-week/wau-restaurant,https://assets.ctfassets.net/1aemqu6a6t65/2dhY2wuKGWZKL8psw0rcj8/396682b15929969ecb6f3880e9a03330/WAU_Restaurant_Week_Summer_2023.pdf,https://waunyc.com,Restaurants; Upper West Side; Manhattan; New York City; Mastercard Offer; Asian American Owned; Malaysian; Thai; Pan-Asian; $$$; Member Organization,Lunch_Price_30; Dinner_Price_45; Sunday_LunchBrunch_Price_60; Sunday_Dinner_Price_60,"434 Amsterdam Ave.,Manhattan,10024,NY",40.7844885,-73.9777295
Pink Taco,pink-taco,https://www.nyctourism.com/restaurant-week/pink-taco,https://assets.ctfassets.net/1aemqu6a6t65/3dA6LU4ZYOMbyxxEHDTAwL/398d701eb42fb6ffe890374764929f2e/PT_MENU_NYCRW-Dinner_New_York_6.30.23-Table_Tent-v4.pdf,https://www.pinktaco.com/locations/new-york-city,Restaurants; Times Square/Theatre District; Manhattan; New York City; Wheelchair Accessible; Mexican; Vegetarian Options; Vegan Options; Gluten-Free; $$$$; Bar; Cocktails; Mastercard Offer,Lunch_Price_30; Dinner_Price_45,"7 Times Square,Manhattan,10036,NY",40.7557653,-73.9867598
