name,url_slug,url,img_url,pdf_url,website,tags,meal_type,address,latitude,longitude
Altesi Downtown,altesi-downtown,https://www.nyctourism.com/restaurant-week/altesi-downtown,http://images.ctfassets.net/1aemqu6a6t65/1ibj2DozeBt47dqVngiMZx/56bd55f058740486277ceed28ffffdf5/altesidowntown-lowermanhattan-manhattan-nyc-restaurant-altesidowntown-18266_,https://assets.ctfassets.net/1aemqu6a6t65/7hncqPyDEgBOeLzQTPjbBA/e98564da2c80f68c90ed10a835c763d6/PDFsam_merge.pdf,https://www.altesinyc.com/downtown,Restaurants; Soho; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Italian; Vegetarian Options; Gluten-Free; Free WiFi; Internet; $$$; Member Organization; Private Function Room(s); Outdoor Dining,Lunch_Price_30; Dinner_Price_45; Sunday_Dinner_45,"200 Spring St.,Manhattan,10012,NY",40.7250957,-74.0033108
KYU NYC,kyu-nyc,https://www.nyctourism.com/restaurant-week/kyu-nyc,http://images.ctfassets.net/1aemqu6a6t65/1ibj2DozeBt47dqVngiMZx/56bd55f058740486277ceed28ffffdf5/altesidowntown-lowermanhattan-manhattan-nyc-restaurant-altesidowntown-18266_,https://assets.ctfassets.net/1aemqu6a6t65/5pIR4CUdtU66FKwsKOyBL0/a9f9fb10b1dcd155202a378ab2d01e2e/PDFsam_merge.pdf,https://www.kyurestaurants.com/location/kyu-nyc,Restaurants; Noho; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; American (New); Vegetarian Options; Vegan Options; Gluten-Free; $$$$$,Dinner_Price_60; Sunday_LunchBrunch_Price_45; Sunday_Dinner_Price_60,"324 Lafayette St.,Manhattan,10012,NY",40.7256063,-73.9952614
Empire Steak House - East 50th Street,empire-steak-house-east-50th-street,https://www.nyctourism.com/restaurant-week/empire-steak-house-east-50th-street,http://images.ctfassets.net/1aemqu6a6t65/5vFpQ0zYFpFKxn3g9tqlM4/9dfd26415f0fd8c1bbbf651ff13357d8/rw-to-go_empire_steak_house_-_east_50th_street,https://assets.ctfassets.net/1aemqu6a6t65/5hUiLwxCcHfTvmFc9tme0t/59aaf0fb532a584e5a91f8a7a0219b91/PDFsam_merge.pdf,https://www.empiresteakhousenyc.com,Restaurants; Midtown East; Manhattan; New York City; Mastercard Offer; Steakhouse; Vegetarian Options; Gluten-Free; Free WiFi; $$$$; Member Organization; Private Function Room(s); Outdoor Dining,Lunch_Price_45; Dinner_Price_60; Sunday_Dinner_Price_60,"151 E. 50th St.,Manhattan,10022,NY",40.7561844,-73.9712258
Claudette,claudette,https://www.nyctourism.com/restaurant-week/claudette,http://images.ctfassets.net/1aemqu6a6t65/2ufee8on1hLAGhdJEssvC5/e5b3b177e91ee90e3c65a9c4f6e74631/claudette-greenwich-village-manhattan-nyc-courtesy-l1160657,https://assets.ctfassets.net/1aemqu6a6t65/5g0YApGCkJQJbUmT6X40Xi/8fa20079efb4305cacb67fd582ec49b4/PDFsam_merge.pdf,https://www.claudettenyc.com,Restaurants; Greenwich Village; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; French; Mediterranean; Vegetarian Options; Gluten-Free; $$$; Member Organization; Private Function Room(s); Outdoor Dining,Lunch_Price_30; Dinner_Price_45; Sunday_Dinner_45,"24 Fifth Ave.,Manhattan,10011,NY",40.7330838004,-73.9959924503
Takumen,takumen,https://www.nyctourism.com/restaurant-week/takumen,http://images.ctfassets.net/1aemqu6a6t65/2qvnZRBZJ3OdWGSA1qbs2S/f5cfb53396c5cecf1ce55a38caf53788/Takumen-Manhattan-NYC-Photo-Nao-Fukui-_1.jpg,https://assets.ctfassets.net/1aemqu6a6t65/5FKnhXROfrXWTBbGmeQtuW/c2a9e983f3f6216d80666e5b2e772733/Restaurant_Week_Summer_2023.pdf,http://www.takumenlic.com,Restaurants; Long Island City; Queens; New York City; Mastercard Offer; Wheelchair Accessible; Asian American Owned; Japanese / Sushi; American (New); Vegetarian Options; Vegan Options; Gluten-Free; $$$,Lunch_Price_30; Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"5-50 50th Ave.,Queens,11101,NY",40.7427319,-73.9546865
Periyali,periyali,https://www.nyctourism.com/restaurant-week/periyali,http://images.ctfassets.net/1aemqu6a6t65/6wocvvNNKSroh7evMQXntS/630c4bfc3f00ab17c92630f5402f2670/nw2d0096,,https://www.periyali.com,Restaurants; Flatiron District; Manhattan; New York City; Mastercard Offer; Woman Owned; Greek; Free WiFi; Internet; $$$; Member Organization; Private Function Room(s); Outdoor Dining,Lunch_Price_30; Dinner_Price_45; Sunday_Dinner_45,"35 W. 20th St.,Manhattan,10011,NY",40.7407661,-73.9928511
The Fulton,the-fulton,https://www.nyctourism.com/restaurant-week/the-fulton,http://images.ctfassets.net/1aemqu6a6t65/lK7vleGrbpNKOSgoLBbeP/df82d1545a8a8cc69aae538b1b2d5f2c/the-fulton-south-street-seaport-manhattan-nyc-2019-04-24hefulton19720,https://assets.ctfassets.net/1aemqu6a6t65/zbmzvcjFsWChauHR2RslI/474563f9809776b13bd42cf4db0462a4/TF_Restaurant_Week_Menu.pdf,https://www.thefulton.nyc,Restaurants; Lower Manhattan; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Seafood; $$$$; Member Organization; Outdoor Dining,Lunch_Price_60,"Pier 17, 89 South St.,Manhattan,10038,NY",40.705573,-74.0014567
The Dram Shop Bar,the-dram-shop,https://www.nyctourism.com/restaurant-week/the-dram-shop,http://images.ctfassets.net/1aemqu6a6t65/5DMVLb8IEaDHYIfU4Ng1tb/f49e5f8547e76b3f38d6f9feaeeddba7/the-dram-shop-bar-park-slope-brooklyn-nyc-courtesy-02,https://assets.ctfassets.net/1aemqu6a6t65/4MMgcc9srZvirj8g3n1yHt/df27221bd649e39025a1135ba1a23afe/PDFsam_merge.pdf,https://www.dramshopbrooklyn.com,Restaurants; Park Slope; Brooklyn; New York City; Mastercard Offer; Wheelchair Accessible; American (New); American (Traditional); Southwestern; Vegetarian Options; Vegan Options; Gluten-Free; Free WiFi; $$$,Lunch_Price_30; Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"339 9th St.,Brooklyn,11215,NY",40.6688658,-73.9850575
Veselka,veselka-restaurant,https://www.nyctourism.com/restaurant-week/veselka-restaurant,http://images.ctfassets.net/1aemqu6a6t65/11JNo3SduDcCKgrPGaOkdV/3e452719f67fb5778dee3cd78e4810b8/rw-to-go_veselka_1c097c03-5056-a36f-235e166222ce1fde-1c09793e5056a36_1c097c52-5056-a36f-231860c61f2e1dbc,,https://www.veselka.com,Restaurants; East Village; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Ukrainian; Vegetarian Options; Internet; $$$; Member Organization; Family; Outdoor Dining,Lunch_Price_30; Dinner_Price_30; Sunday_Dinner_30,"144 Second Ave.,Manhattan,10003,NY",40.7289226,-73.9869285
Bar Boulud,bar-boulud,https://www.nyctourism.com/restaurant-week/bar-boulud,http://images.ctfassets.net/1aemqu6a6t65/3sOVf60fOFxEE8lueszXbh/e5a0059255fafc270a63dc7f8a21fcfe/bar-boulud-charcuterie-melissa-horn,https://assets.ctfassets.net/1aemqu6a6t65/2MMlIrNijPLNq7bWdisI1N/8291ae22892f3b2bcaf3f9f36013ace8/Bar_boulud_menu-01.pdf,https://www.barboulud.com/nyc,Restaurants; Upper West Side; Manhattan; New York City; Mastercard Offer; Large Print; Wheelchair Accessible; French; Free WiFi; Internet; $$$$; Bar; Wine; Member Organization; Private Function Room(s); Outdoor Dining,Lunch_Price_45; Dinner_Price_60,"1900 Broadway,Manhattan,10023,NY",40.7714137,-73.9817508
